Ligaments-1,Ligaments-2,Ligaments-3,Ligaments-4,Ligaments-5,Ligaments-6,Ligaments-7,Ligaments-8,Ligaments-9,Ligaments-10
Nucleus pulposus C4-C5,,Posterior cruciate ligament.r,Transverse ligament of knee.l,Talocalcaneal interosseous ligament.r,Capitohamate interosseous ligament.l,,,,
Nucleus pulposus C3-C4,,Anterior cruciate ligament.r,Oblique popliteal ligament.l,Anterior talocalcaneal ligament.r,Trapezoideocapitate interosseous ligament.l,,,,
Nucleus pulposus C2-C3,,Posterior cruciate ligament.l,Arcuate popliteal ligament.r,Talocalcaneal interosseous ligament.l,Lunotriquetral interosseous ligament.l,,,,
Sacrococcygeal symphysis,,Anterior cruciate ligament.l,Anterior ligament of fibular head.r,Anterior talocalcaneal ligament.l,Pisohamate ligament.r,,,,
,,Median thyrohyoid ligament,Posterior ligament of fibular head.r,Dorsal metatarsal ligaments.r,Pisometacarpal ligament.r,,,,
,,Oblique cord.l,Anterior ligament of fibular head.l,Metatarsal interosseous ligaments.r,Pisohamate ligament.l,,,,
,,Oblique cord.r,Posterior ligament of fibular head.l,Dorsal metatarsal ligaments.l,Pisometacarpal ligament.l,,,,
,,Glenoid labrum.l,Posterior talofibular ligament.r,Metatarsal interosseous ligaments.l,Dorsal carpometacarpal ligaments.r,,,,
,,Glenoid labrum.r,Posterior talofibular ligament.l,Plantar metatarsophalangeal ligaments.r,Palmar carpometacarpal ligaments.r,,,,
,,Superior glenohumeral ligament.l,Medial talocalcaneal ligament.r,Plantar metatarsophalangeal ligaments.l,Dorsal carpometacarpal ligaments.l,,,,
,,Middle glenohumeral ligament.l,Posterior talocalcaneal ligament.r,Plantar interphalangeal ligaments.r,Palmar carpometacarpal ligaments.l,,,,
,,Inferior glenohumeral ligament.l,Medial talocalcaneal ligament.l,Plantar interphalangeal ligaments.l,Dorsal metacarpal ligaments.r,,,,
,,Superior glenohumeral ligament.r,Posterior talocalcaneal ligament.l,Plantar calcaneonavicular ligament.l,Interosseous metacarpal ligaments.r,,,,
,,Middle glenohumeral ligament.r,Talonavicular ligament.r,Plantar calcaneonavicular ligament.r,Dorsal metacarpal ligaments.l,,,,
,,Inferior glenohumeral ligament.r,Talonavicular ligament.l,Anterior meniscotibial ligament (Lateral meniscus).l,Interosseous metacarpal ligaments.l,,,,
,,Ulnar collateral ligament.l,Dorsal calcaneocuboid ligament.r,Anterior meniscotibial ligament (Medial meniscus).l,,,,,
,,Radial collateral ligament.l,Dorsal calcaneocuboid ligament.l,Posterior meniscotibial ligament (Lateral meniscus).l,,,,,
,,Annular ligament of radius.l,Dorsal cuneonavicular ligaments.r,Posterior meniscotibial ligament (Medial meniscus).l,,,,,
,,Ulnar collateral ligament.r,Plantar cuneonavicular ligaments.r,Anterior meniscotibial ligament (Lateral meniscus).r,,,,,
,,Radial collateral ligament.r,Dorsal cuneonavicular ligaments.l,Anterior meniscotibial ligament (Medial meniscus).r,,,,,
,,Annular ligament of radius.r,Plantar cuneonavicular ligaments.l,Posterior meniscotibial ligament (Lateral meniscus).r,,,,,
