Head,Neck,Left upper limb,Right upper limb,Left lower limb,Right lower limb,Cranium,Back,Fasciae,Arteries of heart,Cardiac veins,Pulmonary arteries,Pulmonary veins,Systemic arteries,Systemic veins,Neurocranium,Viscerocranium,Trunk,Thorax,Digestive canal,Bones of left foot,Bones of right foot,Bones of left hand,Bones of right hand,Cartilages,Regions of trunk,Digestive system,Spinal cord,Bursae,Tendon sheaths,Mandible,Maxilla,Axial skeleton,Appendicular skeleton,Spine
Inferior nasal concha bone.r,Vertebra C7,Sternal end.s,Middle phalanx of fourth finger of hand.r,Fifth metatarsal bone.l,Fifth metatarsal bone.r,Inferior nasal concha bone.r,Nucleus pulposus T11-T12,Posterior layer of thoracolumbar fascia.l,,,Superior lobar artery of right lung,Right inferior pulmonary vein,Lateral basal segmental artery of right lung,Anterior vein of left lung,Temporal bone.l,Palatine bone.r,Nucleus pulposus T9-T10,Eighth rib.r,Descending colon,Second metatarsal bone.l,Second metatarsal bone.r,Proximal phalanx of first finger of hand.l,Proximal phalanx of 1st finger of hand.r,Corniculate cartilage.r,Lateral region of abdomen.r,Parotid gland.r,Spinal reticular process,Coracobrachial bursa.l,Tendon sheath of extensor carpi ulnaris.l,Lower lateral incisor.l,Upper medial incisor.l,Inferior nasal concha bone.r,Medial cuneiform bone.r,Vertebra T5
Lacrimal bone.r,Vertebra C4,Tuberosity for coracoclavicular ligament.s,Middle phalanx of fifth finger of hand.r,Second metatarsal bone.l,Second metatarsal bone.r,Lacrimal bone.r,Nucleus pulposus T10-T11,Middle layer of thoracolumbar fascia.l,,,Posterior segmental artery of right lung,Anterior vein of left lung,Anterior basal segmental artery of right lung,Apicoposterior vein of left lung,,Palatine bone.l,Nucleus pulposus T8-T9,Ninth rib.r,Transverse colon,Third metatarsal bone.l,Third metatarsal bone.r,Proximal phalanx of second finger of hand.l,Proximal phalanx of 2d finger of hand.r,Corniculate cartilage.l,Hypochondriac region.l,(Accessory parotid gland).r,Lateral corticospinal tract,Subtendinous bursa of infraspinatus muscle.r,Synovial sheaths of digits of hand.r,Lower canine.l,Upper lateral incisor.l,Lacrimal bone.r,First metatarsal bone.r,Vertebra T6
Nasal bone.r,Axis (C2),Distal phalanx of first finger of hand.l,Proximal phalanx of first finger of hand.r,Third metatarsal bone.l,Third metatarsal bone.r,Nasal bone.r,Nucleus pulposus T9-T10,Anterior layer of thoracolumbar fascia.l,,,Middle lobar artery of right lung,Apicoposterior vein of left lung,Medial basal segmental artery of right lung,Inferior lingular vein of left lung,,Zygomatic bone.r,Nucleus pulposus T7-T8,Tenth rib.r,,Fourth metatarsal bone.l,Fourth metatarsal bone.r,Proximal phalanx of third finger of hand.l,Proximal phalanx of 3rd finger of hand.r,Costal cartilage of first rib.r,Hypogastric region.l,Parotid gland.l,Rubrospinal tract,Subtendinous bursa of infraspinatus muscle.l,Tendon sheath of extensor digiti minimi manus.r,Lower first premolar.l,Upper canine.l,Nasal bone.r,Fifth metatarsal bone.r,Vertebra T7
Vomer,Arytenoid cartilage.l,Distal phalanx of second finger of hand.l,Proximal phalanx of second finger of hand.r,Fourth metatarsal bone.l,Fourth metatarsal bone.r,Vomer,Nucleus pulposus T8-T9,Pectoral fascia.r,,,Inferior lobar artery of right lung,Inferior lingular vein of left lung,Medial segmental artery of right lung,Superior lingular vein of left lung,,Zygomatic bone.l,Nucleus pulposus T6-T7,Manubrium of sternum,,Distal phalanx of fifth finger of foot.l,Distal phalanx of fifth finger of foot.r,Proximal phalanx of fourth finger of hand.l,Proximal phalanx of 4th finger of hand.r,Costal cartilage of second rib.r,Inguinal region.l,(Accessory parotid gland).l,Lateral reticulospinal tract,Subtendinous bursa of teres major muscle.r,Tendon sheath of extensor digiti minimi manus.l,Lower second premolar.l,Upper first premolar.l,Maxilla.r,Second metatarsal bone.r,Vertebra T9
Maxilla.r,Corniculate cartilage.l,Distal phalanx of third finger of hand.l,Proximal phalanx of third finger of hand.r,Distal phalanx of fifth finger of foot.l,Distal phalanx of fifth finger of foot.r,Maxilla.r,Nucleus pulposus T7-T8,Pectoral fascia.l,,,Lateral basal segmental artery of right lung,Superior lingular vein of left lung,Lateral segmental artery of right lung,Superior basal vein of left lung,,Mandible,Nucleus pulposus T5-T6,Xiphoid process,,Distal phalanx of first finger of foot.l,Distal phalanx of first finger of foot.r,Proximal phalanx of fifth finger of hand.l,Proximal phalanx of 5th finger of hand.r,Costal cartilage of third rib.r,Lateral region of abdomen.l,Parotid duct.l,Lateral vestibulospinal tract,Subtendinous bursa of teres major muscle.l,Tendon sheath of extensor pollicis longus.r,Lower first molar tooth.l,Upper second premolar.l,Palatine bone.r,Third metatarsal bone.r,Vertebra T10
Palatine bone.r,Lateral thyrohyoid ligament.r,Distal phalanx of fourth finger of hand.l,Proximal phalanx of fourth finger of hand.r,Distal phalanx of first finger of foot.l,Distal phalanx of first finger of foot.r,Palatine bone.r,Nucleus pulposus T6-T7,Investing abdominal fascia.r,,,Superior lingular artery of left lung,Superior basal vein of left lung,Superior segmental artery of right lung,Superior vein of left lung,,Upper medial incisor.r,Nucleus pulposus T4-T5,Body of sternum,,Distal phalanx of fourth finger of foot.l,Distal phalanx of fourth finger of foot.r,First metacarpal bone.l,First metacarpal bone.r,Costal cartilage of fourth rib.r,Lumbar region.r,Parotid duct.r,Medial reticulospinal tract,Subtendinous bursa of triceps brachii muscle.r,Tendon sheath of extensor pollicis longus.l,Lower second molar tooth.l,Upper first molar tooth.l,Zygomatic bone.r,Fourth metatarsal bone.r,Vertebra T11
Zygomatic bone.r,Lateral thyrohyoid ligament.l,Distal phalanx of fifth finger of hand.l,Proximal phalanx of fifth finger of hand.r,Distal phalanx of fourth finger of foot.l,Distal phalanx of fourth finger of foot.r,Zygomatic bone.r,Nucleus pulposus T5-T6,Investing abdominal fascia.l,,,Superior segmental artery of left lung,Superior vein of left lung,Superior lingular artery of left lung,Inferior basal vein of left lung,,Upper lateral incisor.r,Nucleus pulposus T3-T4,Costal cartilage of first rib.r,,Distal phalanx of second finger of foot.l,Distal phalanx of second finger of foot.r,Second metacarpal bone.l,Second metacarpal bone.r,Costal cartilage of fifth rib.r,Lumbar region.l,Sublingual gland.l,Anterior corticospinal tract,Subtendinous bursa of triceps brachii muscle.l,Tendon sheath - abd. pollicis longus - ext. pollicis brevis.r,,Upper second molar tooth.l,Mandible,Distal phalanx of fifth finger of foot.r,Vertebra T12
Mandible,Median thyrohyoid ligament,Middle phalanx of second finger of hand.l,First metacarpal bone.r,Distal phalanx of second finger of foot.l,Distal phalanx of second finger of foot.r,Malleus.r,Nucleus pulposus T4-T5,Piriformis fascia.r,,,Bifurcation of pulmonary trunk,Inferior basal vein of left lung,Inferior lingular artery of left lung,Great cardiac vein,,Upper canine.r,Nucleus pulposus T2-T3,Costal cartilage of second rib.r,,Distal phalanx of third finger of foot.l,Distal phalanx of third finger of foot.r,Third metacarpal bone.l,Third metacarpal bone.r,Costal cartilage of sixth rib.r,Sacral region.r,Sublingual gland.r,Anterior spinothalamic tract,Bicipitoradial bursa.r,Tendon sheath of extensors carpi radialis.r,,,Hyoid bone,Distal phalanx of first finger of foot.r,Vertebra T8
Hyoid bone,Quadrangular membrane.r,Middle phalanx of third finger of hand.l,Second metacarpal bone.r,Distal phalanx of third finger of foot.l,Distal phalanx of third finger of foot.r,Incus.r,Nucleus pulposus T3-T4,Piriformis fascia.l,,,Pulmonary trunk,Left inferior pulmonary vein,Apical segmental artery of left lung,????????,,Lower medial incisor.r,Nucleus pulposus T1-T2,Costal cartilage of third rib.r,,Middle phalanx of second finger of foot.l,Middle phalanx of second finger of foot.r,4th metacarpal bone.l,Fourth metacarpal bone.r,Costal cartilage of seventh rib.r,Sacral region.l,Submandibular gland.l,Lateral spinothalamic tract,Bicipitoradial bursa.l,Tendon sheath of extensors carpi radialis.l,,,Malleus.r,Distal phalanx of fourth finger of foot.r,Vertebra T1
Malleus.r,Quadrangular membrane.l,Middle phalanx of fourth finger of hand.l,Third metacarpal bone.r,Middle phalanx of second finger of foot.l,Middle phalanx of second finger of foot.r,Stapes.r,Nucleus pulposus T2-T3,Medial intermuscular septum of arm.r,,,Inferior lingular artery of left lung,Left superior pulmonary vein,Posterior segmental artery of left lung,Middle cardiac vein,,Lower lateral incisor.r,Nucleus pulposus C7-T1,Costal cartilage of fourth rib.r,,Middle phalanx of third finger of foot.l,Middle phalanx of third finger of foot.r,5th metacarpal bone.l,Fifth metacarpal bone.r,Costal cartilage of eighth rib.r,Infrascapular region.r,Submandibular gland.r,Posterolateral tract,Subcutaneous trochanteric bursa.r,Synovial sheaths of digits of hand.l,,,Incus.r,Distal phalanx of second finger of foot.r,Vertebra L1
