Muscles-1,Muscles-2,Muscles-3,Muscles-4,Muscles-5,Muscles-6,Muscles-7,Muscles-8,Muscles-9,Muscles-10
Rectus lateralis capitis muscle.l,Semispinalis colli muscle.l,Inferior pharyngeal constrictor.l,Longissimus colli muscle.l,Splenius colli muscle.r,Iliocostalis lumborum muscle.r,Rectus abdominis muscle.l,Internal abdominal oblique muscle.l,Acromial part of deltoid muscle.l,Trochanteric bursa of gluteus maximus muscle.r
Multifidus colli muscle.r,Rotatores.l,Thyro-epiglottic part of thyro-arytenoid muscle.r,Interspinales colli muscles.r,Splenius capitis muscle.l,Iliocostalis lumborum muscle.l,Supraspinatus muscle.r,Infraspinatus muscle.r,Clavicular part of deltoid muscle.l,Trochanteric bursa of gluteus maximus muscle.l
Multifidus thoracis muscle.r,Rotatores.r,Thyro-epiglottic part of thyro-arytenoid muscle.l,Interspinales thoracis muscles.r,Splenius colli muscle.l,Longissimus thoracis muscle.r,Teres minor muscle.r,Infraspinatus muscle.l,Scapular spinal part of deltoid muscle.l,Trochanteric bursa of gluteus medius muscle.l
Multifidus lumborum muscle.r,Levatores breves costarum.r,Spinalis capitis muscle.r,Interspinales lumborum muscles.r,Serratus anterior muscle.r,Longissimus thoracis muscle.l,Supraspinatus muscle.l,Humeral head of flexor carpi ulnaris.r,Brachioradialis muscle.r,Trochanteric bursa of gluteus minimus muscle.r
Multifidus colli muscle.l,Levatores breves costarum.l,Spinalis colli muscle.r,Interspinales colli muscles.l,Transversus thoracis muscle.r,Serratus posterior superior muscle.r,Teres minor muscle.l,Humeral head of flexor carpi ulnaris.l,Brachioradialis muscle.l,Trochanteric bursa of gluteus minimus muscle.l
Multifidus thoracis muscle.l,Diaphragm,Spinalis thoracis muscle.r,Interspinales thoracis muscles.l,Serratus anterior muscle.l,Serratus posterior superior muscle.l,Superficial head of pronator teres.r,Extensor carpi radialis longus.r,Gluteus maximus muscle.r,Bursa of piriformis muscle.r
Multifidus lumborum muscle.l,Iliococcygeus muscle.r,Spinalis capitis muscle.l,Interspinales lumborum muscles.l,Transversus thoracis muscle.l,External intercostal muscles.r,Superficial head of pronator teres.l,Extensor carpi radialis longus.l,Tensor fasciae latae.r,Bursa of piriformis muscle.l
Dorsal parts of lateral intertransversarii lumborum muscles.r,Iliococcygeus muscle.l,Spinalis colli muscle.l,Internal intercostal muscles.r,Linea alba,Subclavius muscle.r,Palmaris longus muscle.r,Abductor pollicis brevis.r,Gluteus maximus muscle.l,Sciatic bursa of obturator internus.r
Ventral parts of lateral intertransversarii lumborum muscles.r,Flexor pollicis longus.r,Spinalis thoracis muscle.l,Internal intercostal muscles.l,Pyramidalis muscle.r,External intercostal muscles.l,Palmaris longus muscle.l,Abductor digiti minimi of hand.r,Tensor fasciae latae.l,Sciatic bursa of obturator internus.l
Dorsal parts of lateral intertransversarii lumborum muscles.l,Flexor pollicis longus.l,Levatores longi costarum.r,Quadratus lumborum muscle.r,Pyramidalis muscle.l,Subclavius muscle.l,Extensor digitorum.r,Gluteus medius muscle.r,Lateral head of gastrocnemius.r,Subtendinous bursa of obturator internus.r
Ventral parts of lateral intertransversarii lumborum muscles.l,Ulnar head of extensor carpi ulnaris.r,Levatores longi costarum.l,Quadratus lumborum muscle.l,Teres major muscle.r,Transversus abdominis muscle.r,Extensor digitorum.l,Gluteus medius muscle.l,Medial head of gastrocnemius.r,Subtendinous bursa of obturator internus.l
Coccygeus muscle.r,Ulnar head of extensor carpi ulnaris.l,Innermost intercostal muscles.r,Medial head of triceps brachii.r,Teres major muscle.l,Transversus abdominis muscle.l,Gluteus minimus muscle.r,Sartorius muscle.r,Calcaneal tendon.r,Sciatic bursa of gluteus maximus muscle.r
Pubococcygeus muscle.r,Supinator.r,Innermost intercostal muscles.l,Medial head of triceps brachii.l,Brachialis muscle.r,Subscapularis muscle.r,Gluteus minimus muscle.l,Sartorius muscle.l,Lateral head of gastrocnemius.l,Sciatic bursa of gluteus maximus muscle.l
Coccygeus muscle.l,Supinator.l,Pubo-analis muscle.r,Flexor digitorum profundus.r,Brachialis muscle.l,Subscapularis muscle.l,Rectus femoris muscle.r,Long head of biceps femoris.r,Medial head of gastrocnemius.l,Intermuscular gluteal bursae.r
Pubococcygeus muscle.l,Extensor indicis.r,Pubo-analis muscle.l,Flexor digitorum profundus.l,Lateral head of triceps brachii.r,Long head of biceps brachii.r,Rectus femoris muscle.l,Long head of biceps femoris.l,Calcaneal tendon.l,Intermuscular gluteal bursae.l
Pronator quadratus.r,Extensor indicis.l,Coracobrachialis muscle.r,Obturator internus.r,Lateral head of triceps brachii.l,Short head of biceps brachii.r,Semimembranosus muscle.r,Semitendinosus muscle.r,Iliotibial tract.r,(Iliopectineal bursa).r
Pronator quadratus.l,Transverse head of adductor pollicis.r,Coracobrachialis muscle.l,Obturator internus.l,Deep head of pronator teres.r,Long head of biceps brachii.l,Semimembranosus muscle.l,Semitendinosus muscle.l,Iliotibial tract.l,(Iliopectineal bursa).l
Abductor pollicis longus.r,Transverse head of adductor pollicis.l,Radial head of flexor digitorum superficialis.r,Lateral patellar retinaculum.r,Deep head of pronator teres.l,Short head of biceps brachii.l,Fibularis longus muscle.r,Tibialis anterior muscle.r,,Subtendinous bursa of iliacus muscle.r
Extensor pollicis brevis.r,Iliacus muscle.r,Radial head of flexor digitorum superficialis.l,Medial patellar retinaculum.r,Humero-ulnar head of flexor digitorum superficialis.r,Long head of triceps brachii.r,Fibularis longus muscle.l,Tibialis anterior muscle.l,,Subtendinous bursa of iliacus muscle.l
Extensor pollicis longus.r,Iliacus muscle.l,Anconeus muscle.r,Lateral patellar retinaculum.l,Humero-ulnar head of flexor digitorum superficialis.l,Long head of triceps brachii.l,Popliteus muscle.r,Plantaris muscle.r,,Superior bursa of biceps femoris muscle.r
Abductor pollicis longus.l,Adductor brevis.r,Extensor digiti minimi.r,Medial patellar retinaculum.l,Humeral head of extensor carpi ulnaris.r,Ulnar head of flexor carpi ulnaris.r,Popliteus muscle.l,Plantaris muscle.l,,Superior bursa of biceps femoris muscle.l
Extensor pollicis brevis.l,Adductor brevis.l,Anconeus muscle.l,Pectineus muscle.r,Humeral head of extensor carpi ulnaris.l,Ulnar head of flexor carpi ulnaris.l,,,,Subtendinous prepatellar bursa.r
Extensor pollicis longus.l,Medial head of flexor hallucis brevis.r,Extensor digiti minimi.l,Gracilis muscle.r,Extensor carpi radialis brevis.r,Flexor carpi radialis.r,,,,Subtendinous prepatellar bursa.l
Dorsal interossei muscles of hand.r,Medial head of flexor hallucis brevis.l,Lumbrical muscles of hand.r,Obturator externus.r,Extensor carpi radialis brevis.l,Flexor carpi radialis.l,,,,Subcutaneous prepatellar bursa.r
Palmar interossei muscles.r,Extensor digitorum brevis.r,Lumbrical muscles of hand.l,Pectineus muscle.l,Superficial head of flexor pollicis brevis.r,Deep head of flexor pollicis brevis.r,,,,Subcutaneous prepatellar bursa.l
Dorsal interossei muscles of hand.l,Flexor digiti minimi of foot.r,Psoas major.r,Gracilis muscle.l,Superficial head of flexor pollicis brevis.l,Deep head of flexor pollicis brevis.l,,,,Deep infrapatellar bursa.r
Palmar interossei muscles.l,Quadratus plantae muscle.r,Psoas major.l,Obturator externus.l,Oblique head of adductor pollicis.r,Flexor digiti minimi of hand.r,,,,Deep infrapatellar bursa.l
(Adductor minimus).r,Extensor digitorum brevis.l,Adductor longus.r,Short head of biceps femoris.r,Oblique head of adductor pollicis.l,Abductor pollicis brevis.l,,,,Subfacial prepatellar bursa.r
(Adductor minimus).l,Flexor digiti minimi of foot.l,Adductor longus.l,Short head of biceps femoris.l,Opponens pollicis muscle.r,Abductor digiti minimi of hand.l,,,,Subfacial prepatellar bursa.l
Lateral head of flexor hallucis brevis.r,Quadratus plantae muscle.l,Fibularis tertius muscle.r,Tibialis posterior muscle.r,Opponens digiti minimi muscle of hand.r,Piriformis muscle.r,,,,Subcutaneous infrapatellar bursa.r
Lateral head of flexor hallucis brevis.l,,Extensor hallucis longus.r,Tibialis posterior muscle.l,Opponens pollicis muscle.l,Piriformis muscle.l,,,,Subcutaneous infrapatellar bursa.l
Oblique head of adductor hallucis.r,,Fibularis tertius muscle.l,,Flexor digiti minimi of hand.l,Vastus lateralis muscle.r,,,,Suprapatellar bursa.r
Transverse head of adductor hallucis.r,,Extensor hallucis longus.l,,Opponens digiti minimi muscle of hand.l,Vastus medialis muscle.r,,,,Suprapatellar bursa.l
Oblique head of adductor hallucis.l,,Abductor digiti minimi of foot.r,,Quadratus femoris muscle.r,Vastus lateralis muscle.l,,,,Subcutaneous bursa of tuberosity of tibia.r
Transverse head of adductor hallucis.l,,Abductor digiti minimi of foot.l,,Inferior gemellus muscle.r,Vastus medialis muscle.l,,,,Subcutaneous bursa of tuberosity of tibia.l
Dorsal interossei muscles of foot.r,,Abductor hallucis.r,,Superior gemellus muscle.r,Extensor digitorum longus.r,,,,Inferior subtendinous bursa of biceps femoris muscle.r
Lumbrical muscles of foot.r,,Extensor hallucis brevis.r,,Quadratus femoris muscle.l,Tendon of extensor digitorum longus.r,,,,Subtendinous bursa of sartorius muscle.r
