Arteries-1,Arteries-2,Arteries-3,Arteries-4,Arteries-5,Arteries-6,Arteries-7,Arteries-8,Arteries-9,Arteries-10
Superior segmental artery of left lung,Non-coronary leaflet,Anterior division of internal iliac artery.r,Thyrocervical trunk.l,Superior epigastric artery.r,Spinal branch of iliolumbar artery.r,,Superficial epigastric artery.r,,Lateral frontobasal artery.l
(Deep branch of transverse cervical artery),Right coronary leaflet,(Deep branch of transverse cervical artery).l,Internal pudendal artery.l,Deep cervical artery.l,Lumbar branch of iliolumbar artery.r,,Posterior intercostal arteries.r,,Lateral occipital artery.r
,Anterior semilunar leaflet of pulmonary valve,Pectoral branches of thoraco-acromial artery.r,Middle colic artery,Lateral thoracic artery.l,Deep external pudendal artery.r,,,,Lateral occipital artery.l
,Left semilunar leaflet of pulmonary valve,Pectoral branches of thoraco-acromial artery.l,Common palmar digital arteries.l,Inferior pancreaticoduodenal artery,Parieto-occipital artery.l,,,,Buccal artery.r
,Right semilunar leaflet of pulmonary valve,Deep brachial artery.l,Proper palmar digital arteries.l,Superior anorectal artery,Deep artery of penis.l,,,,Buccal artery.l
,Inferior papillary muscle of right ventricle,Radial collateral artery.l,Descending branch of lateral circumflex femoral artery.l,Dorsal digital arteries of hand.l,Deep artery of penis.r,,,,Descending palatine artery.r
,Anterior papillary muscle of right ventricle,Middle collateral artery.l,Deep plantar artery.l,Palmar metacarpal arteries.l,Spinal branch of iliolumbar artery.l,,,,Infra-orbital artery.r
,Septal papillary muscle of right ventricle,Dorsal metacarpal arteries.l,Calcaneal branches of fibular artery.l,Palmar carpal branch of radial artery.l,Lumbar branch of iliolumbar artery.l,,,,Infra-orbital artery.l
,Inferior papillary muscle of left ventricle,Dorsal carpal anastomosis.l,Superficial branch of medial plantar artery.l,Common plantar digital arteries.l,Deep external pudendal artery.l,,,,Greater palatine artery.l
,Brachiocephalic trunk,(Ulnar recurrent artery).l,Plantar metatarsal arteries.l,Proper plantar digital arteries.l,(Superficial branch of transverse cervical artery).r,,,,Greater palatine artery.r
,Aortic arch,Recurrent interosseous artery.l,Perforating branches of plantar metatarsal arteries.l,Inferior medial genicular artery.l,,,,,Descending palatine artery.l
,Left common carotid artery,Posterior interosseous artery.l,Calcaneal branches of posterior tibial artery.l,Inferior lateral genicular artery.l,,,,,
,Left subclavian artery,Dorsal carpal branch of ulnar artery.l,Superior medial genicular artery.l,Superior lateral genicular artery.l,,,,,
,Thoracic aorta,Superior ulnar collateral artery.l,Common palmar digital arteries.r,Dorsal digital arteries of hand.r,,,,,
,Right renal artery,Inferior ulnar collateral artery.l,Proper palmar digital arteries.r,Palmar metacarpal arteries.r,,,,,
,Left renal artery,Anterior circumflex humeral artery.l,Descending branch of lateral circumflex femoral artery.r,Palmar carpal branch of radial artery.r,,,,,
,Abdominal aorta,Posterior circumflex humeral artery.l,Deep plantar artery.r,Common plantar digital arteries.r,,,,,
,Internal iliac artery.r,Medial circumflex femoral artery.l,Calcaneal branches of fibular artery.r,Proper plantar digital arteries.r,,,,,
,Internal iliac artery.l,Lateral circumflex femoral artery.l,Superficial branch of medial plantar artery.r,Inferior medial genicular artery.r,,,,,
,External iliac artery.l,Deep femoral artery.l,Plantar metatarsal arteries.r,Inferior lateral genicular artery.r,,,,,
,Ascending aorta,Medial plantar artery.l,Perforating branches of plantar metatarsal arteries.r,Superior lateral genicular artery.r,,,,,
,Axillary artery.l,Plantar arch.l,Calcaneal branches of posterior tibial artery.r,Deep cervical artery.r,,,,,
,Deep palmar arch.l,Lateral plantar artery.l,Superior medial genicular artery.r,Lumbar arteries.r,,,,,
,Radial artery.l,Middle genicular arteries.l,Right testicular artery,Iliacus branch of iliolumbar artery.r,,,,,
,Ulnar artery.l,Common interosseous artery.l,Dorsal artery of penis.r,Lateral thoracic artery.r,,,,,
,Superficial palmar arch.l,Common interosseous artery.r,Inferior thyroid artery.r,Iliolumbar artery.r,,,,,
