Bones-1,Bones-2,Bones-3,Bones-4,Bones-5,Bones-6,Bones-7,Bones-8,Bones-9,Bones-10
,,,Trapezium bone.l,First metacarpal bone.r,,,,,
,,,Triquetrum bone.l,Second metacarpal bone.r,,,,,
,,,Humerus.l,Third metacarpal bone.r,,,,,
,,,Scapula.r,Fourth metacarpal bone.r,,,,,
,,,Scapula.l,Fifth metacarpal bone.r,,,,,
,,,Femur.l,First metacarpal bone.l,,,,,
,,,Femur.r,Second metacarpal bone.l,,,,,
,,,,Third metacarpal bone.l,,,,,
,,,,Fourth metacarpal bone.l,,,,,
,,,,Fifth metacarpal bone.l,,,,,
,,,,Trapezoid bone.l,,,,,
