Nerves-1,Nerves-2,Nerves-3,Nerves-4,Nerves-5,Nerves-6,Nerves-7,Nerves-8,Nerves-9,Nerves-10
Ciliary body-curve.r,Olfactory nerve (I).l,,Sympathetic nerves.l,,,Anterior cutaneous branches of femoral nerve.l,Superior gluteal nerve.r,,Precentral sulcus (inferior part)*.l
Posterior nucleus of vagus nerve.r,Optic nerve (II).l,,Ganglia of sympathetic trunk.l,,,Posterior branch of obturator nerve.l,Nerve to piriformis muscle.l,,Precentral sulcus (Superior part)*.l
Nucleus of hypoglossal nerve.r,Oculomotor nerve (III).l,,Sympathetic trunk.l,,,Anterior branch of obturator nerve.l,Nerve to piriformis muscle.r,,Angular gyrus.l
Nucleus of accessory nerve.r,Trigeminal nerve (V).l,,,,,Intermediate dorsal cutaneous nerve of foot.l,Nerve to quadratus femoris muscle.l,,Supramarginal gyrus.l
Nucleus of solitary tract.r,Mental nerve.l,,,,,Muscular branches of deep fibular nerve.l,Nerve to quadratus femoris muscle.r,,Postcentral gyrus.l
Nucleus ambiguus.r,Nerve to mylohyoid muscle.l,,,,,Deep fibular nerve.l,Pudendal nerve.l,,Postcentral sulcus.l
Posterior cochlear nucleus.r,Buccal nerve.l,,,,,,Pudendal nerve.r,,Precuneus.l
Anterior segment of eyeball.r,Posterior division of mandibular nerve.l,,,,,,Posterior femoral cutaneous nerve.l,,Superior parietal lobule.l
Cornea.l,Anterior division of mandibular nerve.l,,,,,,Posterior femoral cutaneous nerve.r,,Intraparietal sulcus.l
Sclera.l,Lingual nerve.l,,,,,,Posterior root of posterior femoral cutaneous nerve.l,,Inferior occipital gyrus and sulcus*.l
Iris.l,Maxillary nerve.l,,,,,,Posterior root of posterior femoral cutaneous nerve.r,,Lingual gyrus.l
Retina.l,Ophthalmic nerve.l,,,,,,Anterior root of posterior femoral cutaneous nerve.l,,Lateral occipital gyrus (Middle occipital gyrus*).l
Anterior chamber of eyeball.l,Meningeal branch of maxillary nerve.l,,,,,,Anterior root of posterior femoral cutaneous nerve.r,,Calcarine sulcus.l
Zonular fibres.l,Chorda tympani.l,,,,,,Medial pectoral nerve.l,,Cuneus.l
Lens.l,Facial nerve (VII).l,,,,,,Medial pectoral nerve.r,,Superior occipital gyri.l
Anterior segment of eyeball.l,Glossopharyngeal nerve (IX).l,,,,,,,,Lunate sulcus.l
